Candidate,JONATHAN D. WEINBERG,KULJEET KALKAT,SALLY MEADOWS,LYNETTE LEE ENG,SCOTT SPIELMAN,TERRI COUTURE,ALEX RUBASHEVSKY
JONATHAN D. WEINBERG,1.0,0.370751995744777,0.36557233488307056,-0.45675916615742024,-0.36581200540203945,-0.3780040686249619,-0.09575474647166941
KULJEET KALKAT,0.370751995744777,1.0,0.34905866906232236,-0.50740701190826,-0.4162906875320077,-0.35014613723616866,-0.06410603651576452
SALLY MEADOWS,0.36557233488307056,0.34905866906232236,1.0,-0.39972920725087924,-0.3715119388075112,-0.3878078051163632,-0.13948404863722383
LYNETTE LEE ENG,-0.45675916615742024,-0.50740701190826,-0.39972920725087924,1.0,0.2339567988356879,0.22012619653544263,-0.08346392869735214
SCOTT SPIELMAN,-0.36581200540203945,-0.4162906875320077,-0.3715119388075112,0.2339567988356879,1.0,0.2974540451320297,-0.04185035766651321
TERRI COUTURE,-0.3780040686249619,-0.35014613723616866,-0.3878078051163632,0.22012619653544263,0.2974540451320297,1.0,0.025966954169807585
ALEX RUBASHEVSKY,-0.09575474647166941,-0.06410603651576452,-0.13948404863722383,-0.08346392869735214,-0.04185035766651321,0.025966954169807585,1.0
