candidate_id,Candidate,Votes,Result
238,SALLY MEADOWS,9630,Winner
164,LYNETTE LEE ENG,9042,Winner
114,JONATHAN D. WEINBERG,8139,Winner
146,KULJEET KALKAT,7800,Eliminated
242,SCOTT SPIELMAN,5997,Eliminated
261,TERRI COUTURE,3976,Eliminated
6,ALEX RUBASHEVSKY,1248,Eliminated
